id,image_id,category_id,iscrowd,area,bbox_x,bbox_y,bbox_w,bbox_h,bbox_area,aspect_ratio,class_name
52,39,4,0,43968,158.0,143.0,229.0,192.0,43968.0,1.193,Melanoma
53,40,2,0,51221,211.0,97.0,391.0,131.0,51221.0,2.985,Eczema
54,40,2,0,33335,240.0,262.0,295.0,113.0,33335.0,2.611,Eczema
55,41,1,0,359454,0.0,37.0,417.0,862.0,359454.0,0.484,ChickenPox
56,42,1,0,223510,0.0,95.0,721.0,310.0,223510.0,2.326,ChickenPox
57,43,4,0,14632,86.0,64.0,118.0,124.0,14632.0,0.952,Melanoma
58,44,2,0,72580,165.0,258.0,380.0,191.0,72580.0,1.99,Eczema
59,44,2,0,79516,172.0,21.0,386.0,206.0,79516.0,1.874,Eczema
60,45,2,0,226176,98.0,46.0,608.0,372.0,226176.0,1.634,Eczema
61,46,2,0,211320,45.0,0.0,360.0,587.0,211320.0,0.613,Eczema
62,47,3,0,81812,7.0,9.0,362.0,226.0,81812.0,1.602,Hives
63,48,2,0,81189,113.0,59.0,291.0,279.0,81189.0,1.043,Eczema
64,49,3,0,86346,36.0,56.0,533.0,162.0,86346.0,3.29,Hives
65,50,2,0,117855,0.0,66.0,405.0,291.0,117855.0,1.392,Eczema
66,51,1,0,40280,35.0,13.0,190.0,212.0,40280.0,0.896,ChickenPox
67,52,3,0,12350,255.0,238.0,95.0,130.0,12350.0,0.731,Hives
68,52,3,0,8904,90.0,312.0,159.0,56.0,8904.0,2.839,Hives
69,52,3,0,16512,166.0,174.0,129.0,128.0,16512.0,1.008,Hives
70,52,3,0,5670,73.0,267.0,81.0,70.0,5670.0,1.157,Hives
71,52,3,0,49820,98.0,0.0,235.0,212.0,49820.0,1.108,Hives
72,53,1,0,1537925,80.0,86.0,1135.0,1355.0,1537925.0,0.838,ChickenPox
73,54,4,0,27540,206.0,180.0,162.0,170.0,27540.0,0.953,Melanoma
74,55,2,0,33785,127.0,380.0,145.0,233.0,33785.0,0.622,Eczema
75,55,2,0,34314,323.0,86.0,129.0,266.0,34314.0,0.485,Eczema
76,55,2,0,51000,139.0,1.0,150.0,340.0,51000.0,0.441,Eczema
77,55,2,0,20740,0.0,107.0,122.0,170.0,20740.0,0.718,Eczema
78,56,1,0,37120,0.0,894.0,464.0,80.0,37120.0,5.8,ChickenPox
79,56,1,0,104859,0.0,595.0,573.0,183.0,104859.0,3.131,ChickenPox
80,56,1,0,206628,112.0,234.0,402.0,514.0,206628.0,0.782,ChickenPox
81,56,1,0,38055,327.0,498.0,177.0,215.0,38055.0,0.823,ChickenPox
82,57,2,0,66030,130.0,259.0,465.0,142.0,66030.0,3.275,Eczema
83,57,2,0,70533,153.0,68.0,461.0,153.0,70533.0,3.013,Eczema
84,58,2,0,248625,21.0,61.0,663.0,375.0,248625.0,1.768,Eczema
85,59,2,0,76140,146.0,38.0,405.0,188.0,76140.0,2.154,Eczema
86,59,2,0,77226,209.0,257.0,422.0,183.0,77226.0,2.306,Eczema
87,60,2,0,334800,0.0,2.0,720.0,465.0,334800.0,1.548,Eczema
88,61,1,0,1450,53.0,87.0,29.0,50.0,1450.0,0.58,ChickenPox
89,61,1,0,900,131.0,104.0,30.0,30.0,900.0,1.0,ChickenPox
90,62,2,0,5782,295.0,152.0,49.0,118.0,5782.0,0.415,Eczema
91,63,1,0,1845,116.0,109.0,41.0,45.0,1845.0,0.911,ChickenPox
92,63,1,0,2332,120.0,180.0,53.0,44.0,2332.0,1.205,ChickenPox
93,63,1,0,494,191.0,135.0,19.0,26.0,494.0,0.731,ChickenPox
94,63,1,0,384,202.0,94.0,16.0,24.0,384.0,0.667,ChickenPox
95,63,1,0,3480,0.0,184.0,87.0,40.0,3480.0,2.175,ChickenPox
96,64,3,0,26730,13.0,180.0,165.0,162.0,26730.0,1.019,Hives
97,65,4,0,2898,90.0,69.0,46.0,63.0,2898.0,0.73,Melanoma
98,66,2,0,91044,63.0,75.0,281.0,324.0,91044.0,0.867,Eczema
99,67,2,0,259500,27.0,32.0,692.0,375.0,259500.0,1.845,Eczema
100,68,2,0,165390,29.0,349.0,447.0,370.0,165390.0,1.208,Eczema
101,68,2,0,73290,229.0,0.0,210.0,349.0,73290.0,0.602,Eczema
102,68,2,0,62445,42.0,0.0,181.0,345.0,62445.0,0.525,Eczema
103,69,3,0,84915,44.0,83.0,629.0,135.0,84915.0,4.659,Hives
104,70,3,0,76059,109.0,385.0,313.0,243.0,76059.0,1.288,Hives
105,71,2,0,37248,307.0,269.0,291.0,128.0,37248.0,2.273,Eczema
106,72,1,0,351378,142.0,170.0,482.0,729.0,351378.0,0.661,ChickenPox
107,73,2,0,345600,0.0,0.0,720.0,480.0,345600.0,1.5,Eczema
108,74,2,0,345600,0.0,0.0,720.0,480.0,345600.0,1.5,Eczema
109,75,2,0,55328,143.0,251.0,532.0,104.0,55328.0,5.115,Eczema
110,76,1,0,1908005,441.0,0.0,1243.0,1535.0,1908005.0,0.81,ChickenPox
111,77,1,0,21432,3.0,34.0,152.0,141.0,21432.0,1.078,ChickenPox
112,78,4,0,21442,101.0,38.0,151.0,142.0,21442.0,1.063,Melanoma
113,79,1,0,109710,0.0,592.0,530.0,207.0,109710.0,2.56,ChickenPox
114,79,1,0,162582,46.0,64.0,343.0,474.0,162582.0,0.724,ChickenPox
115,80,2,0,25584,57.0,31.0,164.0,156.0,25584.0,1.051,Eczema
116,81,2,0,337211,0.0,10.0,719.0,469.0,337211.0,1.533,Eczema
117,82,1,0,39200,0.0,259.0,280.0,140.0,39200.0,2.0,ChickenPox
118,82,1,0,30728,25.0,122.0,184.0,167.0,30728.0,1.102,ChickenPox
119,82,1,0,19812,54.0,33.0,156.0,127.0,19812.0,1.228,ChickenPox
120,83,2,0,227915,0.0,0.0,577.0,395.0,227915.0,1.461,Eczema
121,83,2,0,37548,326.0,268.0,252.0,149.0,37548.0,1.691,Eczema
122,84,1,0,165648,71.0,252.0,336.0,493.0,165648.0,0.682,ChickenPox
123,85,3,0,56134,184.0,392.0,254.0,221.0,56134.0,1.149,Hives
124,86,2,0,263610,0.0,36.0,606.0,435.0,263610.0,1.393,Eczema
125,87,2,0,7540,236.0,99.0,65.0,116.0,7540.0,0.56,Eczema
126,88,3,0,60092,224.0,36.0,332.0,181.0,60092.0,1.834,Hives
127,89,2,0,82644,39.0,386.0,388.0,213.0,82644.0,1.822,Eczema
128,89,2,0,135212,37.0,33.0,439.0,308.0,135212.0,1.425,Eczema
129,90,1,0,262961,0.0,460.0,599.0,439.0,262961.0,1.364,ChickenPox
130,90,1,0,35055,150.0,320.0,285.0,123.0,35055.0,2.317,ChickenPox
131,91,2,0,32922,127.0,15.0,186.0,177.0,32922.0,1.051,Eczema
132,92,2,0,229712,62.0,0.0,586.0,392.0,229712.0,1.495,Eczema
133,93,1,0,501420,370.0,50.0,822.0,610.0,501420.0,1.348,ChickenPox
134,94,2,0,212454,4.0,81.0,666.0,319.0,212454.0,2.088,Eczema
135,95,1,0,2156,66.0,58.0,44.0,49.0,2156.0,0.898,ChickenPox
136,95,1,0,1520,88.0,106.0,40.0,38.0,1520.0,1.053,ChickenPox
137,95,1,0,1680,106.0,79.0,42.0,40.0,1680.0,1.05,ChickenPox
138,96,3,0,75900,170.0,77.0,300.0,253.0,75900.0,1.186,Hives
139,97,2,0,9373,260.0,240.0,91.0,103.0,9373.0,0.883,Eczema
140,98,2,0,49266,95.0,264.0,414.0,119.0,49266.0,3.479,Eczema
141,99,2,0,34668,0.0,16.0,214.0,162.0,34668.0,1.321,Eczema
142,100,3,0,142136,23.0,40.0,652.0,218.0,142136.0,2.991,Hives
143,101,2,0,260574,22.0,56.0,634.0,411.0,260574.0,1.543,Eczema
144,102,3,0,40278,201.0,64.0,147.0,274.0,40278.0,0.536,Hives
145,103,3,0,41762,148.0,79.0,157.0,266.0,41762.0,0.59,Hives
146,104,2,0,29715,114.0,240.0,283.0,105.0,29715.0,2.695,Eczema
147,104,2,0,148088,0.0,373.0,428.0,346.0,148088.0,1.237,Eczema
148,105,4,0,2050,141.0,86.0,50.0,41.0,2050.0,1.22,Melanoma
149,106,2,0,50826,18.0,19.0,258.0,197.0,50826.0,1.31,Eczema
150,108,1,0,7304,302.0,495.0,88.0,83.0,7304.0,1.06,ChickenPox
151,108,1,0,25724,240.0,164.0,218.0,118.0,25724.0,1.847,ChickenPox
152,109,1,0,6794,11.0,33.0,86.0,79.0,6794.0,1.089,ChickenPox
153,109,1,0,6405,63.0,119.0,61.0,105.0,6405.0,0.581,ChickenPox
154,110,1,0,858000,26.0,0.0,1040.0,825.0,858000.0,1.261,ChickenPox
155,111,4,0,50592,19.0,15.0,272.0,186.0,50592.0,1.462,Melanoma
156,112,3,0,222720,0.0,0.0,696.0,320.0,222720.0,2.175,Hives
157,113,1,0,153035,105.0,291.0,635.0,241.0,153035.0,2.635,ChickenPox
158,114,2,0,290700,73.0,21.0,646.0,450.0,290700.0,1.436,Eczema
159,115,2,0,25594,410.0,90.0,191.0,134.0,25594.0,1.425,Eczema
160,116,1,0,2160,56.0,179.0,48.0,45.0,2160.0,1.067,ChickenPox
161,116,1,0,3332,111.0,175.0,68.0,49.0,3332.0,1.388,ChickenPox
162,116,1,0,3717,111.0,119.0,63.0,59.0,3717.0,1.068,ChickenPox
163,116,1,0,2000,184.0,156.0,40.0,50.0,2000.0,0.8,ChickenPox
164,117,3,0,3813,176.0,270.0,93.0,41.0,3813.0,2.268,Hives
165,118,1,0,538501,0.0,0.0,599.0,899.0,538501.0,0.666,ChickenPox
166,119,2,0,297424,48.0,12.0,641.0,464.0,297424.0,1.381,Eczema
167,120,2,0,51863,13.0,2.0,239.0,217.0,51863.0,1.101,Eczema
168,121,2,0,286162,0.0,16.0,719.0,398.0,286162.0,1.807,Eczema
169,122,1,0,184815,0.0,74.0,555.0,333.0,184815.0,1.667,ChickenPox
170,123,2,0,39456,168.0,73.0,288.0,137.0,39456.0,2.102,Eczema
171,124,2,0,338649,0.0,0.0,719.0,471.0,338649.0,1.527,Eczema
172,125,1,0,864,106.0,137.0,27.0,32.0,864.0,0.844,ChickenPox
173,125,1,0,450,85.0,195.0,18.0,25.0,450.0,0.72,ChickenPox
174,125,1,0,546,83.0,165.0,21.0,26.0,546.0,0.808,ChickenPox
175,126,2,0,4070,256.0,72.0,37.0,110.0,4070.0,0.336,Eczema
176,126,2,0,6270,53.0,70.0,57.0,110.0,6270.0,0.518,Eczema
177,126,2,0,4750,6.0,89.0,50.0,95.0,4750.0,0.526,Eczema
178,127,2,0,81530,163.0,42.0,263.0,310.0,81530.0,0.848,Eczema
179,127,2,0,177633,0.0,332.0,459.0,387.0,177633.0,1.186,Eczema
180,128,2,0,20332,49.0,0.0,92.0,221.0,20332.0,0.416,Eczema
181,128,2,0,42,104.0,60.0,7.0,6.0,42.0,1.167,Eczema
182,128,2,0,20995,146.0,0.0,95.0,221.0,20995.0,0.43,Eczema
183,129,1,0,133560,491.0,454.0,504.0,265.0,133560.0,1.902,ChickenPox
184,129,1,0,13760,651.0,336.0,160.0,86.0,13760.0,1.86,ChickenPox
185,130,2,0,61344,144.0,72.0,432.0,142.0,61344.0,3.042,Eczema
186,131,1,0,1092289,0.0,288.0,1199.0,911.0,1092289.0,1.316,ChickenPox
187,132,3,0,32226,78.0,386.0,246.0,131.0,32226.0,1.878,Hives
188,133,4,0,69122,157.0,78.0,323.0,214.0,69122.0,1.509,Melanoma
189,134,3,0,69120,77.0,0.0,192.0,360.0,69120.0,0.533,Hives
190,134,3,0,12408,323.0,219.0,88.0,141.0,12408.0,0.624,Hives
191,134,3,0,17888,387.0,156.0,104.0,172.0,17888.0,0.605,Hives
192,134,3,0,20838,326.0,66.0,151.0,138.0,20838.0,1.094,Hives
193,134,3,0,7722,293.0,0.0,54.0,143.0,7722.0,0.378,Hives
194,135,1,0,232065,26.0,407.0,573.0,405.0,232065.0,1.415,ChickenPox
195,136,2,0,27225,8.0,88.0,225.0,121.0,27225.0,1.86,Eczema
196,136,2,0,29274,40.0,25.0,246.0,119.0,29274.0,2.067,Eczema
197,137,2,0,44642,0.0,0.0,202.0,221.0,44642.0,0.914,Eczema
198,137,2,0,6800,213.0,0.0,80.0,85.0,6800.0,0.941,Eczema
199,138,2,0,44200,89.0,0.0,136.0,325.0,44200.0,0.418,Eczema
200,138,2,0,41273,192.0,59.0,149.0,277.0,41273.0,0.538,Eczema
201,138,2,0,39886,311.0,77.0,154.0,259.0,39886.0,0.595,Eczema
202,139,2,0,49446,22.0,20.0,246.0,201.0,49446.0,1.224,Eczema
203,140,1,0,4235,6.0,5.0,55.0,77.0,4235.0,0.714,ChickenPox
204,140,1,0,3990,63.0,42.0,70.0,57.0,3990.0,1.228,ChickenPox
205,140,1,0,5727,141.0,35.0,83.0,69.0,5727.0,1.203,ChickenPox
206,140,1,0,12320,8.0,84.0,88.0,140.0,12320.0,0.629,ChickenPox
207,140,1,0,552,103.0,158.0,24.0,23.0,552.0,1.043,ChickenPox
208,140,1,0,9540,134.0,118.0,90.0,106.0,9540.0,0.849,ChickenPox
209,141,3,0,1968,311.0,109.0,48.0,41.0,1968.0,1.171,Hives
210,141,3,0,3024,53.0,122.0,63.0,48.0,3024.0,1.312,Hives
211,141,3,0,26910,261.0,219.0,195.0,138.0,26910.0,1.413,Hives
212,141,3,0,6080,143.0,264.0,76.0,80.0,6080.0,0.95,Hives
213,141,3,0,33920,0.0,391.0,212.0,160.0,33920.0,1.325,Hives
214,141,3,0,4819,306.0,399.0,79.0,61.0,4819.0,1.295,Hives
215,142,2,0,197685,0.0,50.0,573.0,345.0,197685.0,1.661,Eczema
216,143,3,0,47580,409.0,61.0,305.0,156.0,47580.0,1.955,Hives
217,143,3,0,65688,0.0,268.0,322.0,204.0,65688.0,1.578,Hives
218,143,3,0,57812,0.0,0.0,298.0,194.0,57812.0,1.536,Hives
219,144,2,0,281400,69.0,19.0,402.0,700.0,281400.0,0.574,Eczema
220,144,2,0,5880,33.0,284.0,98.0,60.0,5880.0,1.633,Eczema
221,145,3,0,47817,211.0,262.0,297.0,161.0,47817.0,1.845,Hives
222,146,1,0,174836,192.0,0.0,401.0,436.0,174836.0,0.92,ChickenPox
223,147,3,0,49115,168.0,253.0,517.0,95.0,49115.0,5.442,Hives
224,148,4,0,82600,207.0,140.0,295.0,280.0,82600.0,1.054,Melanoma
225,149,3,0,322245,703.0,10.0,465.0,693.0,322245.0,0.671,Hives
226,149,3,0,77380,474.0,498.0,265.0,292.0,77380.0,0.908,Hives
227,150,3,0,27825,160.0,167.0,175.0,159.0,27825.0,1.101,Hives
228,151,2,0,16830,279.0,132.0,198.0,85.0,16830.0,2.329,Eczema
229,152,2,0,18304,42.0,264.0,128.0,143.0,18304.0,0.895,Eczema
230,152,2,0,18176,210.0,97.0,142.0,128.0,18176.0,1.109,Eczema
231,152,2,0,21560,351.0,72.0,140.0,154.0,21560.0,0.909,Eczema
232,152,2,0,28268,458.0,190.0,148.0,191.0,28268.0,0.775,Eczema
233,153,3,0,95157,70.0,9.0,291.0,327.0,95157.0,0.89,Hives
234,154,2,0,17280,91.0,22.0,90.0,192.0,17280.0,0.469,Eczema
235,155,1,0,525323,0.0,22.0,599.0,877.0,525323.0,0.683,ChickenPox
236,156,3,0,27935,103.0,275.0,185.0,151.0,27935.0,1.225,Hives
237,157,4,0,38989,214.0,268.0,307.0,127.0,38989.0,2.417,Melanoma
238,158,3,0,33660,4.0,48.0,153.0,220.0,33660.0,0.695,Hives
239,158,3,0,14091,0.0,264.0,77.0,183.0,14091.0,0.421,Hives
240,158,3,0,99275,169.0,33.0,209.0,475.0,99275.0,0.44,Hives
241,159,4,0,110760,156.0,95.0,390.0,284.0,110760.0,1.373,Melanoma
242,160,4,0,68382,226.0,128.0,262.0,261.0,68382.0,1.004,Melanoma
243,161,4,0,3968,230.0,59.0,64.0,62.0,3968.0,1.032,Melanoma
244,161,4,0,5964,91.0,108.0,84.0,71.0,5964.0,1.183,Melanoma
245,161,4,0,5082,9.0,76.0,77.0,66.0,5082.0,1.167,Melanoma
246,162,4,0,50112,242.0,107.0,192.0,261.0,50112.0,0.736,Melanoma
247,163,4,0,62499,443.0,220.0,251.0,249.0,62499.0,1.008,Melanoma
248,164,2,0,5120,82.0,70.0,80.0,64.0,5120.0,1.25,Eczema
249,164,2,0,1296,198.0,64.0,24.0,54.0,1296.0,0.444,Eczema
250,165,4,0,331360,192.0,0.0,608.0,545.0,331360.0,1.116,Melanoma
251,166,4,0,12566,89.0,67.0,122.0,103.0,12566.0,1.184,Melanoma
252,167,1,0,17688,3.0,34.0,201.0,88.0,17688.0,2.284,ChickenPox
253,167,1,0,16226,61.0,102.0,133.0,122.0,16226.0,1.09,ChickenPox
254,168,2,0,25742,17.0,2.0,122.0,211.0,25742.0,0.578,Eczema
255,168,2,0,27608,156.0,5.0,136.0,203.0,27608.0,0.67,Eczema
256,169,4,0,54356,193.0,55.0,214.0,254.0,54356.0,0.843,Melanoma
257,169,4,0,18921,524.0,254.0,119.0,159.0,18921.0,0.748,Melanoma
258,169,4,0,28237,96.0,369.0,151.0,187.0,28237.0,0.807,Melanoma
259,170,2,0,71808,81.0,67.0,272.0,264.0,71808.0,1.03,Eczema
260,170,2,0,69030,107.0,394.0,234.0,295.0,69030.0,0.793,Eczema
261,171,2,0,69000,192.0,74.0,500.0,138.0,69000.0,3.623,Eczema
262,171,2,0,90650,128.0,264.0,518.0,175.0,90650.0,2.96,Eczema
263,172,2,0,11682,142.0,116.0,118.0,99.0,11682.0,1.192,Eczema
264,173,4,0,71242,245.0,59.0,179.0,398.0,71242.0,0.45,Melanoma
265,174,2,0,14883,170.0,0.0,123.0,121.0,14883.0,1.017,Eczema
266,174,2,0,64460,0.0,0.0,293.0,220.0,64460.0,1.332,Eczema
267,175,4,0,19040,246.0,177.0,136.0,140.0,19040.0,0.971,Melanoma
268,176,4,0,89271,226.0,57.0,273.0,327.0,89271.0,0.835,Melanoma
269,177,4,0,67510,210.0,150.0,314.0,215.0,67510.0,1.46,Melanoma
270,178,4,0,151263,140.0,31.0,343.0,441.0,151263.0,0.778,Melanoma
271,179,4,0,28773,22.0,45.0,207.0,139.0,28773.0,1.489,Melanoma
272,180,4,0,82626,194.0,83.0,293.0,282.0,82626.0,1.039,Melanoma
273,181,2,0,34650,57.0,10.0,175.0,198.0,34650.0,0.884,Eczema
274,182,1,0,2016,88.0,84.0,48.0,42.0,2016.0,1.143,ChickenPox
275,182,1,0,4070,76.0,0.0,55.0,74.0,4070.0,0.743,ChickenPox
276,182,1,0,2970,22.0,132.0,55.0,54.0,2970.0,1.019,ChickenPox
277,182,1,0,3450,132.0,98.0,69.0,50.0,3450.0,1.38,ChickenPox
278,183,1,0,5874,50.0,28.0,66.0,89.0,5874.0,0.742,ChickenPox
279,183,1,0,5724,114.0,41.0,54.0,106.0,5724.0,0.509,ChickenPox
280,184,2,0,127269,99.0,193.0,537.0,237.0,127269.0,2.266,Eczema
281,185,2,0,389949,0.0,68.0,599.0,651.0,389949.0,0.92,Eczema
282,186,3,0,43416,159.0,79.0,324.0,134.0,43416.0,2.418,Hives
283,187,4,0,44000,207.0,151.0,250.0,176.0,44000.0,1.42,Melanoma
284,188,1,0,9176,56.0,64.0,124.0,74.0,9176.0,1.676,ChickenPox
285,189,4,0,24411,201.0,259.0,309.0,79.0,24411.0,3.911,Melanoma
286,190,2,0,59449,0.0,0.0,269.0,221.0,59449.0,1.217,Eczema
287,191,3,0,38556,93.0,412.0,306.0,126.0,38556.0,2.429,Hives
288,192,4,0,41961,283.0,148.0,197.0,213.0,41961.0,0.925,Melanoma
289,193,4,0,67404,234.0,122.0,274.0,246.0,67404.0,1.114,Melanoma
290,194,2,0,7548,126.0,68.0,102.0,74.0,7548.0,1.378,Eczema
291,195,4,0,212160,74.0,110.0,544.0,390.0,212160.0,1.395,Melanoma
292,196,1,0,843750,0.0,0.0,1125.0,750.0,843750.0,1.5,ChickenPox
293,197,3,0,90552,142.0,0.0,264.0,343.0,90552.0,0.77,Hives
294,197,3,0,48622,148.0,388.0,161.0,302.0,48622.0,0.533,Hives
295,198,4,0,3348,507.0,575.0,62.0,54.0,3348.0,1.148,Melanoma
296,198,4,0,5928,411.0,475.0,76.0,78.0,5928.0,0.974,Melanoma
297,198,4,0,3900,834.0,523.0,60.0,65.0,3900.0,0.923,Melanoma
298,199,2,0,29869,0.0,0.0,251.0,119.0,29869.0,2.109,Eczema
299,199,2,0,24905,0.0,111.0,293.0,85.0,24905.0,3.447,Eczema
300,200,4,0,6097,260.0,334.0,91.0,67.0,6097.0,1.358,Melanoma
301,201,2,0,126814,24.0,23.0,389.0,326.0,126814.0,1.193,Eczema
302,201,2,0,55115,30.0,384.0,365.0,151.0,55115.0,2.417,Eczema
303,202,3,0,286902,123.0,111.0,693.0,414.0,286902.0,1.674,Hives
304,203,4,0,47073,239.0,144.0,221.0,213.0,47073.0,1.038,Melanoma
305,204,4,0,47355,202.0,137.0,205.0,231.0,47355.0,0.887,Melanoma
306,205,2,0,38503,54.0,390.0,277.0,139.0,38503.0,1.993,Eczema
307,205,2,0,57721,48.0,146.0,293.0,197.0,57721.0,1.487,Eczema
308,206,3,0,257400,11.0,169.0,468.0,550.0,257400.0,0.851,Hives
309,207,3,0,15808,322.0,271.0,208.0,76.0,15808.0,2.737,Hives
310,208,1,0,6400,124.0,0.0,80.0,80.0,6400.0,1.0,ChickenPox
311,208,1,0,25080,45.0,72.0,165.0,152.0,25080.0,1.086,ChickenPox
312,209,2,0,58600,0.0,0.0,293.0,200.0,58600.0,1.465,Eczema
313,210,4,0,111800,288.0,223.0,344.0,325.0,111800.0,1.058,Melanoma
314,211,1,0,92303,138.0,237.0,241.0,383.0,92303.0,0.629,ChickenPox
315,212,4,0,41296,482.0,380.0,232.0,178.0,41296.0,1.303,Melanoma
316,213,2,0,34661,23.0,15.0,253.0,137.0,34661.0,1.847,Eczema
317,214,4,0,60885,162.0,264.0,369.0,165.0,60885.0,2.236,Melanoma
318,215,2,0,19300,40.0,2.0,100.0,193.0,19300.0,0.518,Eczema
319,215,2,0,22680,168.0,2.0,105.0,216.0,22680.0,0.486,Eczema
320,216,2,0,5226,114.0,54.0,67.0,78.0,5226.0,0.859,Eczema
321,216,2,0,870,255.0,80.0,30.0,29.0,870.0,1.034,Eczema
322,216,2,0,945,233.0,192.0,35.0,27.0,945.0,1.296,Eczema
323,217,4,0,40913,31.0,32.0,251.0,163.0,40913.0,1.54,Melanoma
324,218,4,0,5767,199.0,109.0,73.0,79.0,5767.0,0.924,Melanoma
325,219,4,0,76028,190.0,114.0,332.0,229.0,76028.0,1.45,Melanoma
326,220,3,0,604800,0.0,0.0,960.0,630.0,604800.0,1.524,Hives
327,221,1,0,434816,237.0,13.0,632.0,688.0,434816.0,0.919,ChickenPox
328,222,4,0,35011,244.0,190.0,223.0,157.0,35011.0,1.42,Melanoma
329,223,2,0,17802,53.0,47.0,207.0,86.0,17802.0,2.407,Eczema
330,224,4,0,107280,174.0,103.0,360.0,298.0,107280.0,1.208,Melanoma
331,225,3,0,71125,73.0,97.0,569.0,125.0,71125.0,4.552,Hives
332,226,3,0,75360,125.0,65.0,471.0,160.0,75360.0,2.944,Hives
333,227,4,0,111267,158.0,101.0,351.0,317.0,111267.0,1.107,Melanoma
334,228,4,0,4032,175.0,111.0,64.0,63.0,4032.0,1.016,Melanoma
